file,status,name,journal,year,doi,repository,dataset_url,topics,modality,tags,used_fulltext,schema_valid,missing_required
frontotemporal-asymmetry-in-socioemotional-behavior-a.json,pending,Frontotemporal asymmetry in socioemotional behavior: A pilot study in frontotemporal dementia,Social Neuroscience,2020,10.1080/17470919.2019.1614478,,,emotion,,,False,False,description;modality;sampleSize;species;longitudinal;openAccess;url
genetic-and-environmental-influences-on-data.json,pending,Genetic and environmental influences on data missingness in developmental cognitive neuroscience,Communications Psychology,2026,10.1038/s44271-026-00457-0,OSF,https://osf.io/bg8zx/files/osfstorage,aging;development,EEG,"Sociopolitical problems (environment, social justice, poverty)",True,True,description;sampleSize;species;longitudinal;openAccess
how-mood-related-physiological-states-bias.json,pending,How mood-related physiological states bias economic decisions,Communications Psychology,2025,10.1038/s44271-025-00241-6,OSF,https://osf.io/wtqzh/?view_only=7e11ce43db764981bb1a32581ccddc9a,decision making;emotion;identity,,,True,False,description;modality;sampleSize;species;longitudinal;openAccess
impaired-slow-wave-sleep-accounts-for.json,pending,Impaired slow-wave sleep accounts for brain aging-related increases in anxiety,Communications Psychology,2026,10.1038/s44271-026-00401-2,,,aging;development;emotion;friendship;social interaction,Structural MRI,,True,True,description;sampleSize;species;longitudinal;openAccess;url
increased-default-mode-network-activation-in.json,pending,Increased default mode network activation in depression and social anxiety during upward social comparison,SCAN,2025,10.1093/scan/nsaf012,,,emotion;identity,fMRI,,True,True,description;sampleSize;species;longitudinal;openAccess;url
individual-traits-and-experiences-predict-the.json,pending,Individual traits and experiences predict the content of dreams,Communications Psychology,2026,10.1038/s44271-026-00447-2,Zenodo,https://zenodo.org/records/15230218,communication;emotion;identity,,COVID/Public Health,True,False,description;modality;sampleSize;species;longitudinal;openAccess
intentional-binding-effect-depends-on-conscious.json,pending,Intentional binding effect depends on conscious access to the sensory consequences of action,Communications Psychology,2025,10.1038/s44271-025-00323-5,,,emotion;identity,,,True,False,description;modality;sampleSize;species;longitudinal;openAccess;url
lonelier-people-feel-less-empathic-despite.json,pending,Lonelier people feel less empathic despite intact neural empathy responses after meditation training,SCAN,2026,10.1093/scan/nsag015,OSF,https://osf.io/2sx3v/,empathy;identity;social cognition,fMRI,,True,True,description;sampleSize;species;longitudinal;openAccess
maternal-buffering-of-fear-potentiated-startle.json,pending,Maternal buffering of fear-potentiated startle in children and adolescents with trauma exposure,Social Neuroscience,2017,10.1080/17470919.2016.1164244,,,aging;development;emotion;friendship;memory;mental health;social interaction;social learning,,,False,False,description;modality;sampleSize;species;longitudinal;openAccess;url
modulatory-role-of-the-right-ventrolateral.json,pending,Modulatory role of the right ventrolateral prefrontal cortex in crowd emotional perception following social exclusion,SCAN,2025,10.1093/scan/nsaf029,,,emotion,,rTMS/TMS,True,False,description;modality;sampleSize;species;longitudinal;openAccess;url
neural-and-behavioral-dynamics-of-mis.json,pending,Neural and behavioral dynamics of (mis)alignment with AI versus humans in risky decision revision,SCAN,2026,10.1093/scan/nsag034,OSF,https://osf.io/vgtrx/overview?,,,Artificial Intelligence,True,False,description;modality;topics;sampleSize;species;longitudinal;openAccess
neural-correlates-of-evaluative-bias-against.json,pending,Neural correlates of evaluative bias against artificial intelligence-labeled versus human-labeled artworks,SCAN,2025,10.1093/scan/nsaf071,,,emotion;memory;social learning,EEG;fNIRS,Artificial Intelligence,True,True,description;sampleSize;species;longitudinal;openAccess;url
neural-correlates-of-social-influence-on.json,pending,Neural correlates of social influence on risk perception during development,Social Neuroscience,2020,10.1080/17470919.2020.1726450,,,aging;development,fMRI,,True,True,description;sampleSize;species;longitudinal;openAccess;url
oxytocin-increases-eye-gaze-towards-novel.json,pending,Oxytocin increases eye-gaze towards novel social and non-social stimuli,Social Neuroscience,2019,10.1080/17470919.2018.1542341,,,aging;development;social cognition,,,False,False,description;modality;sampleSize;species;longitudinal;openAccess;url
prosocial-decisions-in-naturalistic-helping-scenarios.json,pending,Prosocial decisions in naturalistic helping scenarios are predicted by cost-benefit tradeoffs and individual disposition,Communications Psychology,2025,10.1038/s44271-025-00371-x,,,cooperation;emotion;empathy,,,True,False,description;modality;sampleSize;species;longitudinal;openAccess;url
rebalancing-psychology-in-china.json,pending,Rebalancing psychology in China,Communications Psychology,2026,10.1038/s44271-026-00460-5,,,,,,True,False,description;modality;topics;sampleSize;species;longitudinal;openAccess;url
self-referential-judgments-from-the-same.json,pending,Self-referential judgments from the same personality trait scales show increased representational similarity in mPFC,Communications Psychology,2025,10.1038/s44271-025-00365-9,NeuroVault,https://neurovault.org/collections/21712/,emotion;identity,fMRI,,True,True,description;sampleSize;species;longitudinal;openAccess
singing-to-the-newborn-brain-uncovers.json,pending,Singing to the newborn brain uncovers early traces of specialized neural networks,Communications Psychology,2026,10.1038/s44271-026-00451-6,OSF,https://osf.io/qge6b/overview?view_only=f619087708d24eb796b2cc5a73279341,aging;communication;development;emotion,fNIRS,,True,True,description;sampleSize;species;longitudinal;openAccess
social-exclusion-selectively-attenuates-social-reward.json,pending,Social exclusion selectively attenuates social reward processing but promotes prosocial evaluations,SCAN,2026,10.1093/scan/nsag017,OSF,https://osf.io/9ynpe/,cooperation;identity,EEG,,True,True,description;sampleSize;species;longitudinal;openAccess
social-value-orientation-modulates-fairness-decision.json,pending,Social value orientation modulates fairness decision-making in empathic contexts: evidence from event-related potentials and neural oscillations,SCAN,2026,10.1093/scan/nsag003,,,cooperation;empathy;memory;social learning,EEG,,True,True,description;sampleSize;species;longitudinal;openAccess;url
targeting-the-dorsolateral-prefrontal-cortex-to.json,pending,Targeting the dorsolateral prefrontal cortex to enhance memory control: divergent effects on social and non-social memories,SCAN,2025,10.1093/scan/nsaf052,,,emotion;friendship;memory;social interaction;social learning,,rTMS/TMS,True,False,description;modality;sampleSize;species;longitudinal;openAccess;url
temporally-resolved-analyses-of-aperiodic-features.json,pending,Temporally resolved analyses of aperiodic features track neural dynamics during sleep,Communications Psychology,2025,10.1038/s44271-025-00334-2,,,,EEG;iEEG,,True,True,description;topics;sampleSize;species;longitudinal;openAccess;url
the-effect-of-induced-humility-on.json,pending,The effect of induced humility on anger and P3b responses to frustrating events,SCAN,2026,10.1093/scan/nsag013,,,emotion;identity,,,True,False,description;modality;sampleSize;species;longitudinal;openAccess;url
theta-gamma-phase-amplitude-coupling-serves.json,pending,Theta-gamma phase amplitude coupling serves as a marker of social cognition and visual working memory deficits in individuals with elevated autistic traits,Communications Psychology,2026,10.1038/s44271-025-00392-6,OSF,https://osf.io/pabfv/,memory;social cognition;social learning,,,True,False,description;modality;sampleSize;species;longitudinal;openAccess
together-we-sync-a-systematic-qualitative.json,pending,Together we sync: a systematic qualitative and quantitative review of fMRI hyperscanning studies,SCAN,2026,10.1093/scan/nsaf122,OSF,https://osf.io/pgb3c/,,fMRI,,True,True,description;topics;sampleSize;species;longitudinal;openAccess
understanding-phenomenological-experiences-of-autistic-inertia.json,pending,Understanding phenomenological experiences of autistic inertia using online community discourse,Communications Psychology,2026,10.1038/s44271-025-00386-4,OSF,https://osf.io/gsq5j,social networks,,,True,False,description;modality;sampleSize;species;longitudinal;openAccess
